efta_number,dataset,classification,sensitivity,justification,removed_lines,added_lines,is_interesting,llm_reasoning
EFTA02152154,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,6,1,"The removal of specific names, such as 'Ty', and the addition of a placeholder name '_now' suggests an attempt to conceal identities or connections."
EFTA02152552,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,21,24,1,"The removal of specific names and phone numbers appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA02152661,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,5,1,"The removal of specific names (Taylo, Lesley Groff) and the addition of a similar sentence with the name 'B Taylo' suggests an attempt to conceal or alter information about individuals involved."
EFTA02152808,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,21,18,1,"The removal of specific person names (e.g., 'Rick', 'Ty') and the addition of a new name ('Lesley Groff') with identical email content suggests an attempt to conceal or alter the original communication, which may be relevant to the investigation."
EFTA02152962,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,6,1,"The removal of specific names (Ty, Ike) and replacement with generic terms suggests an attempt to obscure connections or relationships."
EFTA02153084,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,5,1,"The removal of 'B Ta lor' and addition of 'B Taylor' suggests a deliberate attempt to modify names, potentially obscuring identities or connections."
EFTA02153639,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,25,15,1,"The removal of specific names (Ike Groff and Lesley Groff) from the email thread suggests an attempt to obscure connections or relationships, which is suspicious in a document analysis context."
EFTA02153678,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,11,1,"The removal of specific names, such as 'Lesley Groff', and the addition of a similar but slightly altered version with the same name suggests an attempt to obscure or manipulate evidence."
EFTA02153942,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,11,1,"The removal of specific names, such as 'Ty' and 'B', appears to be an attempt to obscure the identities of individuals involved in the conversation."
EFTA02153986,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,7,1,"The removal of specific names, such as 'Ty', and the addition of redaction symbols (■) suggest an attempt to obscure identities or connections."
EFTA02154060,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,6,1,"The removal of specific names (Ike Groffl, Lesley Gro) and the addition of a duplicate message with altered formatting suggests an attempt to conceal identities or investigative connections."
EFTA02154239,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,7,1,"The removal of specific names (Sue, lesley jee) and email addresses appears to be an attempt to obscure identities, which could be indicative of a cover-up or concealment of investigative connections."
EFTA02154246,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,29,35,1,"The removal of specific person names, such as 'Jeffrey', appears to be an attempt to obscure connections or investigative scope."
EFTA02154558,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,11,1,"The removal of specific names (Lesley Groft/Groff) and the addition of a similar but not identical name suggests an attempt to conceal or alter identities, which is suspicious in this context."
EFTA02154568,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,10,1,"The removal of specific names (Ty's) and addition of others (Ike Groff, Lesley Groff) suggests an attempt to conceal or alter the original communication record."
EFTA02154654,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,7,1,"The removal of specific names (Ike, Ty) and the alteration of 'bday' to 'belay' suggest an attempt to obscure connections or relationships between individuals."
EFTA02155027,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,4,1,"The removal of specific names appears to be an attempt to conceal identities, which could indicate a deliberate effort to obscure connections or evidence."
EFTA02156602,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal and replacement of a name suggests an attempt to conceal or alter the identity of individuals mentioned in the document."
EFTA02156743,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,6,1,"The removal of the name 'Sue' from a seemingly innocuous household reminder suggests an attempt to conceal or obscure information, which is suspicious in the context of a high-profile investigation like the Epstein case."
EFTA02156901,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,1,4,1,"The removal of 'Ty' and addition of 'Antonin' and 'Lesley Groff' suggests an attempt to conceal or modify the identity of individuals involved in the conversation."
EFTA02156982,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,4,1,"The removal of specific names appears to be deliberate and targeted, potentially obscuring connections or relationships within the document."
EFTA02157002,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,2,1,"The removal of the recipient's email address and name suggests an attempt to conceal communication details, which may be relevant to the investigation."
EFTA02157925,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,2,1,"The removal of a specific name, 'Hambr', suggests an attempt to conceal or obscure information, which is suspicious in the context of a DOJ-released document."
EFTA02158259,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,12,8,1,"The removal of specific names and phone numbers appears to be an attempt to conceal connections between individuals, which could be relevant to the investigation."
EFTA02158510,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,63,39,1,"The removal of names appears to be selective, targeting specific individuals (e.g., Diana Wright, Randy Wright) while leaving others intact, suggesting an attempt to conceal connections or relationships."
EFTA02158632,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,32,5,1,"The removal of specific names from the document appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02159042,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,8,1,"The removal of specific names and the addition of new ones suggests an attempt to conceal or alter the identities involved in the communication."
EFTA02159120,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,7,1,"The removal of specific names (Terry Dinan, Fran) and the addition of a new name (Lesley Gro) with identical scheduling information suggests an attempt to conceal or alter communication records."
EFTA02159129,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,21,5,1,"The removal of specific names, such as 'Paula And Pat Garrity' and the addition of a new name 'Lesley Groff', suggests an attempt to conceal or alter the original content of the document."
EFTA02159152,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,23,23,1,"The removal of specific names and email addresses appears to be an attempt to conceal connections between individuals, which could be relevant to the investigation."
EFTA02159219,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,38,19,1,"The removal of specific names (Terry Dinan and Ty) from the document appears to be an attempt to obscure connections or relationships, which could be relevant to the investigation."
EFTA02159231,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,13,8,1,"The removal of specific names, such as 'Terry Dinan' and 'Ike', suggests an attempt to conceal identities or connections in the document."
EFTA02159482,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,20,12,1,"The removal of specific names (Dina, Terry, Ty, Ike) from the document appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02159499,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,6,1,"The removal of Jeffrey Epstein's name from the email exchange suggests an attempt to obscure his involvement or connections, which is suspicious given the context of the document."
EFTA02159687,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of specific names from the document, particularly 'JE', suggests an attempt to conceal identities or connections, which is suspicious in a law enforcement context."
EFTA02159846,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,9,1,"The removal of specific names and phone numbers appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02160314,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,6,1,"The removal of specific person names, such as 'will' and the addition of a name with an email address, suggests an attempt to conceal or modify communication records."
EFTA02160447,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,9,1,"The removal of specific names (e.g., 'sue', 'Lesley Groff') from the document, while the rest of the content remains intact, suggests an attempt to conceal identities or connections."
EFTA02160498,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,19,28,1,"The removal of specific names, such as 'Jeffrey', appears to be an attempt to obscure connections or relationships between individuals."
EFTA02160608,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,13,1,"The removal of specific names, such as 'Ty', and the alteration of email addresses suggest an attempt to obscure identities or connections."
EFTA02161024,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,5,1,"The removal of specific names and phone numbers appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02161176,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,10,14,1,"The removal of specific names and emails appears to be an attempt to conceal connections or relationships, which could be relevant to the investigation."
EFTA02161188,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,4,1,"The removal of a specific person's name (Lesley Groff) from the document, while adding it back in with a different email address, suggests an attempt to conceal or alter investigative connections."
EFTA02161193,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of 'Louella' and addition of 'Lesley Groff' suggests an intentional alteration to conceal or replace a name, which could be indicative of an attempt to obscure investigative connections."
EFTA02161203,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,6,1,"The removal of the sender's name and email address, while not explicitly stated as a privacy concern, appears to be an attempt to conceal identities or connections in the investigation."
EFTA02161254,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific names (Sue, Svet, Jen) from the original document suggests an attempt to conceal identities or connections, which is suspicious in a law enforcement context."
EFTA02161296,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,6,1,"The removal of specific names (e.g., 'Sue', 'Bruno') and the alteration of email addresses suggests an attempt to obscure connections or identities, which is suspicious."
EFTA02161607,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,12,18,1,"The removal of specific names (e.g., 'Taylor', 'Lesley Groff') and the addition of identical text with minor formatting changes suggests an attempt to conceal identities or connections."
EFTA02161881,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,55,58,1,"The removal of names appears to be selective, targeting specific individuals while leaving others intact, which raises suspicions about the motivations behind the redaction."
EFTA02161909,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,63,80,1,"The removal of names appears to be selective, targeting specific individuals while leaving others' names intact, which raises suspicions about the motivations behind the redaction."
EFTA02161913,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,8,1,"The removal of specific names (Ty, Alex, Bexi) from the original document suggests an attempt to obscure connections or relationships between individuals."
EFTA02161937,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,13,1,"The removal of specific names (e.g., 'Jules', 'Ty', 'Alex') and the addition of a new name ('Lesley Groff') suggests an attempt to conceal identities, which is suspicious in this context."
EFTA02161985,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,13,21,1,"The removal of specific names (Antonina Wilson, Lesley Groff) from the document appears to be an attempt to obscure connections or relationships between individuals."
EFTA02161995,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,50,50,1,"The removal of names appears to be selective, targeting specific individuals while leaving others intact, which raises suspicions about the motivations behind the redaction."
EFTA02162072,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,51,52,1,"The removal of specific names, such as 'Cindy Bell', 'RandyWrigh', and 'Laura Wright', appears to be an attempt to obscure the identities of individuals involved in a conversation, which could be relevant to an investigation."
EFTA02162083,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,19,29,1,"The removal of specific names (Scott Denett and Lesley Groff) from the document appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA02162100,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,70,96,1,"The removal of names appears to be selective, targeting specific individuals (e.g., Kali, Lesley, Russell) while leaving others intact, suggesting an attempt to conceal connections or relationships."
EFTA02162103,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,16,21,1,"The removal of specific names (e.g., 'Ty', 'Lesley Groff') from the document, while leaving other contextual information intact, suggests an attempt to obscure connections or relationships between individuals."
EFTA02162107,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,10,1,"The removal of 'Lyn' and addition of 'Lesley Groff' suggests an attempt to conceal or alter the identity of a person involved in the case."
EFTA02162122,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,43,54,1,"The removal of names appears to be an attempt to conceal the identities of individuals involved, which could be indicative of suspicious activity."
EFTA02162153,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,12,13,1,"The removal of specific names, such as Ainsworth Paul and Lesley Groff, appears to be an attempt to obscure the identities of individuals involved in the communication."
EFTA02162219,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,7,1,"The removal of specific names, such as 'Wendy', 'Steve Wilshire', and 'Lesley Groff', appears to be an attempt to obscure connections between individuals."
EFTA02162220,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,11,1,"The removal of specific names (e.g., Alex, Ty) and addition of new names (Gloryana Perez, Lesley Groff) suggests an attempt to conceal or modify the identities involved in the communication."
EFTA02162730,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,15,19,1,"The removal of specific names, such as 'Russell Wright' and 'Lesley Groff', from the document appears to be an attempt to obscure connections between individuals involved in the case."
EFTA02162774,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,28,29,1,"The removal of names appears to be an attempt to conceal the identities of individuals involved, which could be relevant to the investigation."
EFTA02162782,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,10,15,1,"The removal of specific names (e.g., 'robert', 'Lesley Groff') and addition of similar text with different names suggests an attempt to conceal identities, which may be suspicious in the context of a law enforcement investigation."
EFTA02162783,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,7,1,"The removal of specific names (Gloryana, Ty, Lanni Elena) and addition of new names (Lesley Groff, Ike Groff) suggests an attempt to conceal identities or alter the context of the communication."
EFTA02162863,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,7,1,"The removal of specific names, such as 'Ty' and 'Ike Groff', suggests an attempt to conceal identities or connections in the document."
EFTA02162930,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,6,1,"The removal of names appears to be selective, targeting specific individuals (Ty, Jena, Ike) while leaving others mentioned in the text intact, suggesting an attempt to conceal identities or connections."
EFTA02162992,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of the name 'Ty' and addition of 'M' suggests an attempt to conceal or alter a reference to a specific individual, potentially indicating a deliberate effort to obscure investigative connections."
EFTA02163019,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,10,1,"The removal of names appears to be selective and targeted, suggesting an attempt to conceal identities rather than a routine PII redaction."
EFTA02163026,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,14,15,1,"The removal of specific names and alteration of email addresses appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA02163052,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,23,33,1,"The removal of specific names and email addresses appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA02163153,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,15,25,1,"The removal of specific names, such as 'SCOTT DENETT' and 'Lesley Groff', from the document appears to be an attempt to obscure connections between individuals."
EFTA02163157,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,16,15,1,"The removal of specific names and the addition of similar text with slight modifications suggests an attempt to conceal identities, which is suspicious in a document released by the DOJ."
EFTA02163294,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,6,1,"The removal of specific names appears to be selective and targeted, potentially obscuring connections or relationships between individuals."
EFTA02163763,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,7,1,"The removal of specific names (Sarah/Sue) and the addition of a generic name (Lesley GroffMil) suggests an attempt to obscure identities, which could be indicative of investigative tampering."
EFTA02164677,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,9,1,"The removal of specific names and the addition of new ones, while changing the sender's name to a similar-sounding one, suggests an attempt to conceal identities or alter the context of the communication."
EFTA02165402,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,9,1,"The removal of specific dates of birth (dobs_removed) and the alteration of names suggest an attempt to obscure connections or identities, which is suspicious."
EFTA02165821,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,1,2,1,"The removal of specific names and the addition of a different name suggest an attempt to conceal or alter identities, which could be indicative of suspicious activity."
EFTA02166029,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,10,1,"The removal of specific names (Randv Wright, Lesley Groff) from the document appears to be an attempt to conceal identities or connections, which is suspicious in a forensic context."
EFTA02166054,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,8,1,"The removal and addition of names appear to be an attempt to conceal the identities of individuals involved, potentially obscuring investigative connections or evidence scope."
EFTA02166078,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,12,13,1,"The removal and addition of names appear to be an attempt to conceal or alter the identities of individuals involved, which could be indicative of a cover-up or manipulation of evidence."
EFTA02166143,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,12,1,"The removal of the name 'Ty' and addition of a similar but altered version with 'Lesley Groff - organizer' suggests an attempt to conceal or alter information, which is suspicious."
EFTA02166194,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,3,1,"The removal of 'Lesley Grofq' and the addition of a similar-sounding name 'Vivi' suggests an attempt to conceal or alter identities, which is suspicious in this context."
EFTA02166201,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,7,1,"The removal of specific names and dates appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02166300,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,12,1,"The removal of specific names (Ty, Lesley) from the email appears to be an attempt to obscure connections or relationships, which could be relevant to the investigation."
EFTA02166301,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,12,1,"The removal of specific names (Lesley Taylor, Antonina Wilson) and the addition of new text with their names suggests an attempt to conceal or modify communication records."
EFTA02166398,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,6,1,"The removal and addition of text appears to be an attempt to surgically remove a specific person's name, Lesley Groff, from the document."
EFTA02166829,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,15,1,"The removal of specific names (Woody, Lesley Groff) from a document appears to be an attempt to obscure identities, which could be indicative of suspicious activity."
EFTA02167093,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,10,16,1,"The removal of specific names (Alien, Jai, Cal) and addition of a new organizer's name (Lesley Groff) suggests an attempt to conceal or alter the original communication details."
EFTA02167131,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,17,17,1,"The removal of specific names, such as 'Ty' and 'Lesley Groff', appears to be an attempt to obscure connections or relationships between individuals."
EFTA02167159,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,10,9,1,"The removal of specific names, such as 'Jessica MARKOVIC' and the addition of a new name 'Lesley Groff', suggests an attempt to conceal or alter the identity of individuals involved in the communication."
EFTA02167185,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,11,1,"The removal of specific names, such as 'Ty' and 'Richard Kahn', from the document suggests an attempt to conceal identities or connections, which may be relevant to the investigation."
EFTA02167207,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,8,1,"The removal of specific names, such as 'Ty', and the alteration of email addresses suggest an attempt to obscure identities or connections."
EFTA02167398,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,4,1,"The removal of specific names and contact information, such as phone numbers and addresses, suggests an attempt to conceal connections or relationships between individuals."
EFTA02167503,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,9,1,"The removal of specific names and addition of new ones suggests an attempt to conceal or alter the identities of individuals involved in the communication."
EFTA02167972,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of specific names appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02167987,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,7,1,"The removal of specific names, such as 'Paula Garri S mote' and replacement with a similar but altered name 'Paula Garrity', suggests an attempt to conceal identities rather than protect genuine privacy."
EFTA02168554,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal and replacement of 'Sue' with 'III', followed by the addition of a similar conversation, suggests an attempt to conceal or alter the identity of individuals involved in the communication."
EFTA02168571,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,10,1,"The removal of specific names (Antonina Wilson, Ty) and the addition of new names (Ike Gro, Lesley Groff) suggests an attempt to conceal relationships or connections between individuals."
EFTA02168623,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,8,1,"The removal of specific names (Ainsworth, Gro) and addition of redacted text suggests an attempt to obscure connections or relationships."
EFTA02168681,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,10,1,"The removal of specific names, such as 'Ty', and the addition of a new name, 'Lesley Groff', suggests an attempt to conceal or alter the original content."
EFTA02168734,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,9,1,"The removal of the name 'Ty' and its replacement with 'ill', which is likely a typo, suggests an attempt to obscure the identity of an individual involved in the conversation."
EFTA02168784,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,6,1,"The removal of specific names (Ty and Dominic) appears to be an attempt to obscure connections or relationships, which could be relevant to the investigation."
EFTA02168809,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,13,15,1,"The removal of specific names, 'Ty' and 'Lesley Groff', from the document appears to be an attempt to obscure identities, which could be indicative of a cover-up or concealment of investigative connections."
EFTA02168827,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,15,19,1,"The removal of names appears to be selective, targeting specific individuals (Jack Dann and Ty) while leaving others intact, suggesting an attempt to conceal connections or relationships."
EFTA02168864,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,12,1,"The removal of specific names, such as 'Ty' and 'Dominic', suggests an attempt to obscure connections or relationships between individuals."
EFTA02168909,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,26,29,1,"The removal of specific names and addresses appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA02168943,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,12,17,1,"The removal of specific names, such as 'Ty' and 'Lesley Groff', appears to be an attempt to obscure the identities of individuals involved in the conversation."
EFTA02169821,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,11,1,"The removal of specific names (e.g., 'Ty', 'Mike') from the document, while adding a similar but not identical version with different sender and recipient names, suggests an attempt to conceal identities or connections."
EFTA02169844,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,8,1,"The removal of specific names (Dr. Montanaro, Ty) and the alteration of surrounding text suggests an attempt to conceal identities or connections in the investigation."
EFTA02169871,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,4,1,"The removal of specific names (Ty's read a thon) and the addition of placeholder symbols (♦, ■) suggests an attempt to conceal or obscure identities."
EFTA02169921,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,9,1,"The removal and re-addition of the name 'Lesley Groalliml' appears to be an attempt to obscure or manipulate the document's content, rather than a genuine effort to protect privacy."
EFTA02169958,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,4,1,"The removal of 'Ty' from the original text appears to be a deliberate attempt to conceal or alter information, which raises suspicions about the motivations behind this change."
EFTA02169967,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,6,1,"The removal of specific dates of birth (dobs_removed) and the alteration of names ('Ty's' to 'ead a thon') suggest an attempt to obscure identities, which is suspicious in this context."
EFTA02170029,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,10,1,"The removal of specific names (Ty, Cameron, Devon, cj) from the email invitation suggests an attempt to conceal identities or connections, which is suspicious in a document related to a high-profile case like Epstein's."
EFTA02170078,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,9,1,"The removal of specific names, such as 'Sue', and the alteration of email addresses suggest an attempt to obscure identities or connections."
EFTA02170180,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,7,1,"The removal of specific names (Ty and Mrs Henley) from the original document, while adding similar text with different names, suggests an attempt to conceal identities or connections."
EFTA02170689,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,5,1,"The removal of specific names appears to be an attempt to obscure connections, but the added redaction does not provide a clear justification for the removal."
EFTA02170740,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,2,1,"The removal of the name 'ty' from a casual conversation suggests an attempt to conceal or obscure information, which is suspicious in a document related to a high-profile case like Epstein's."
EFTA02170839,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,12,1,"The removal of specific names, such as 'Ty', and the alteration of email content suggests an attempt to obscure identities or investigative connections."
EFTA02171164,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,5,1,"The removal of specific names appears to be an attempt to conceal identities, which could indicate a deliberate effort to obscure investigative connections or evidence scope."
EFTA02171195,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,8,1,"The removal of specific names and email addresses appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02171312,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,20,18,1,"The removal of specific names (Ike, Lesley, Ty) from the document appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA02171357,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,10,1,"The removal of specific names (Antonina Wilson, Lesley Groff) and the addition of identical text with corrected formatting suggests an attempt to conceal or alter the original content."
EFTA02171959,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,5,1,"The removal of specific names, such as 'Jeffrey', appears to be an attempt to obscure connections or relationships in the investigation."
EFTA02172067,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,14,1,"The removal of specific names, such as 'Lesley Groff' and 'Richard Kahn', from the document suggests an attempt to conceal identities or connections."
EFTA02172082,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,12,1,"The removal of specific names, such as 'Jeffrey', and the addition of a different name, 'Lesley Groff', suggests an attempt to conceal or alter the original communication."
EFTA02173481,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific names ('Henry and Ty') from the document appears to be an attempt to obscure identities, which could be indicative of a deliberate effort to conceal connections or relationships."
EFTA02173558,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,9,1,"The removal of specific names (Sam and Sue) from the document, while leaving other contextual information intact, suggests an attempt to conceal identities or connections."
EFTA02173594,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,3,1,"The removal of specific names (e.g., 'T', 'Ty') from the document, while leaving surrounding context intact, suggests an attempt to conceal identities."
EFTA02173619,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal of specific names, such as Alexia Righi and Lesley Groff, suggests an attempt to obscure connections or relationships between individuals involved in the investigation."
EFTA02173647,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,12,1,"The removal of specific names, such as Alexia Ri and Lesley Groff, from the document appears to be an attempt to obscure connections or relationships between individuals involved in the case."
EFTA02173703,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,12,12,1,"The removal of specific names (Sarah/Sue, Jojo) from the document appears to be an attempt to obscure connections or relationships between individuals."
EFTA02173801,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,9,1,"The removal of specific names (Melanie and Jeffrey) from the document, while adding a generic 'Lesley' in its place, suggests an attempt to conceal identities or connections."
EFTA02173856,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,8,1,"The removal of specific names (T and Ty) from the document, while adding a similar but slightly altered version with a different name (Lesley Grofinilliginell), suggests an attempt to conceal identities or connections."
EFTA02174177,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal of the name 'Ty' and addition of a seemingly unrelated name 'Lesley Groff' suggests an attempt to conceal or alter the original content, which is suspicious."
EFTA02174351,10,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,6,1,"The removal of specific names, such as 'Henry' and 'Ty', from the document suggests an attempt to obscure identities or connections, which is suspicious in a law enforcement context."
